mssv,email,name
21120001,sinhvien1@student.hcmus.edu.vn,Nguyen Van A
21120002,invalid-email,Tran Thi B
21120003,sinhvien3@student.hcmus.edu.vn,Le Van C
21120004,sinhvien4@student.hcmus.edu.vn,Pham Thi D
21120005,sinhvien5@student.hcmus.edu.vn,Hoang Van E
21120006,sinhvien6@student.hcmus.edu.vn,Nguyen Thi F
21120007,sinhvien7@student.hcmus.edu.vn,Tran Van G
21120008,sinhvien8@student.hcmus.edu.vn,Le Thi H
21120009,sinhvien9@student.hcmus.edu.vn,Pham Van I
21120010,sinhvien10@student.hcmus.edu.vn,Hoang Thi K
21120011,sinhvien11@student.hcmus.edu.vn,Nguyen Van L
21120012,wrong-email-format,Tran Thi M
21120013,sinhvien13@student.hcmus.edu.vn,Le Van N
21120014,sinhvien14@student.hcmus.edu.vn,Pham Thi O
21120015,sinhvien15@student.hcmus.edu.vn,Hoang Van P
21120016,sinhvien16@student.hcmus.edu.vn,Nguyen Thi Q
21120017,sinhvien17@student.hcmus.edu.vn,Tran Van R
21120018,sinhvien18@student.hcmus.edu.vn,Le Thi S
21120019,sinhvien19@student.hcmus.edu.vn,Pham Van T
21120020,sinhvien20@student.hcmus.edu.vn,Hoang Thi U
